QPolicy
PlayerSum,DealerUpCard,IsSoft,CanBeSplitted,Action,Value
19,Three,False,False,STAND,0.3907
19,Three,False,False,HIT,-0.8188
19,Three,False,False,DOUBLE_DOWN,-1.4611
19,Three,False,False,SURRENDER,-0.5000
16,Five,True,False,STAND,-0.1394
16,Five,True,False,HIT,-0.0797
16,Five,True,False,DOUBLE_DOWN,0.0875
16,Five,True,False,SURRENDER,-0.5000
19,Ten,False,False,STAND,-0.0196
19,Ten,False,False,HIT,-0.8243
19,Ten,False,False,DOUBLE_DOWN,-1.5165
19,Ten,False,False,SURRENDER,-0.5000
16,Nine,False,False,STAND,-0.5401
16,Nine,False,False,HIT,-0.6517
16,Nine,False,False,DOUBLE_DOWN,-0.9969
16,Nine,False,False,SURRENDER,-0.5000
12,Six,False,False,STAND,-0.1170
12,Six,False,False,HIT,-0.4005
12,Six,False,False,DOUBLE_DOWN,-0.3300
12,Six,False,False,SURRENDER,-0.5000
11,Two,False,False,STAND,-0.2713
11,Two,False,False,HIT,-0.0782
11,Two,False,False,DOUBLE_DOWN,0.4625
11,Two,False,False,SURRENDER,-0.5000
9,Jack,False,False,STAND,-0.5548
9,Jack,False,False,HIT,-0.3325
9,Jack,False,False,DOUBLE_DOWN,-0.6363
9,Jack,False,False,SURRENDER,-0.5000
15,Four,False,False,STAND,-0.2055
15,Four,False,False,HIT,-0.5777
15,Four,False,False,DOUBLE_DOWN,-0.8272
15,Four,False,False,SURRENDER,-0.5000
12,Eight,False,False,STAND,-0.5225
12,Eight,False,False,HIT,-0.3849
12,Eight,False,False,DOUBLE_DOWN,-0.6222
12,Eight,False,False,SURRENDER,-0.5000
13,King,True,False,STAND,-0.5531
13,King,True,False,HIT,-0.2784
13,King,True,False,DOUBLE_DOWN,-0.5988
13,King,True,False,SURRENDER,-0.5000
15,Queen,False,False,STAND,-0.5715
15,Queen,False,False,HIT,-0.6693
15,Queen,False,False,DOUBLE_DOWN,-1.0725
15,Queen,False,False,SURRENDER,-0.5000
6,Four,False,False,STAND,-0.2080
6,Four,False,False,HIT,-0.2672
6,Four,False,False,DOUBLE_DOWN,-0.4130
6,Four,False,False,SURRENDER,-0.5000
14,Seven,True,False,STAND,-0.4878
14,Seven,True,False,HIT,-0.0692
14,Seven,True,False,DOUBLE_DOWN,-0.1981
14,Seven,True,False,SURRENDER,-0.5000
14,Queen,False,False,STAND,-0.5661
14,Queen,False,False,HIT,-0.6331
14,Queen,False,False,DOUBLE_DOWN,-1.0411
14,Queen,False,False,SURRENDER,-0.5000
12,King,False,False,STAND,-0.5661
12,King,False,False,HIT,-0.5853
12,King,False,False,DOUBLE_DOWN,-0.8817
12,King,False,False,SURRENDER,-0.5000
17,Jack,True,False,STAND,-0.4623
17,Jack,True,False,HIT,-0.3176
17,Jack,True,False,DOUBLE_DOWN,-0.5669
17,Jack,True,False,SURRENDER,-0.5000
19,Four,False,False,STAND,0.4112
19,Four,False,False,HIT,-0.8370
19,Four,False,False,DOUBLE_DOWN,-1.4021
19,Four,False,False,SURRENDER,-0.5000
10,Ace,False,True,STAND,-0.6743
10,Ace,False,True,HIT,-0.3969
10,Ace,False,True,SPLIT,-1.4895
10,Ace,False,True,DOUBLE_DOWN,-0.8469
10,Ace,False,True,SURRENDER,-0.5000
10,Queen,False,False,STAND,-0.5978
10,Queen,False,False,HIT,-0.2365
10,Queen,False,False,DOUBLE_DOWN,-0.1642
10,Queen,False,False,SURRENDER,-0.5000
18,Queen,False,False,STAND,-0.2375
18,Queen,False,False,HIT,-0.7694
18,Queen,False,False,DOUBLE_DOWN,-1.3332
18,Queen,False,False,SURRENDER,-0.5000
19,Jack,False,False,STAND,-0.0240
19,Jack,False,False,HIT,-0.8264
19,Jack,False,False,DOUBLE_DOWN,-1.4956
19,Jack,False,False,SURRENDER,-0.5000
16,Three,False,False,STAND,-0.2388
16,Three,False,False,HIT,-0.6212
16,Three,False,False,DOUBLE_DOWN,-0.9085
16,Three,False,False,SURRENDER,-0.5000
19,Six,False,False,STAND,0.4580
19,Six,False,False,HIT,-0.8171
19,Six,False,False,DOUBLE_DOWN,-1.4358
19,Six,False,False,SURRENDER,-0.5000
13,Queen,False,False,STAND,-0.5755
13,Queen,False,False,HIT,-0.5992
13,Queen,False,False,DOUBLE_DOWN,-0.9411
13,Queen,False,False,SURRENDER,-0.5000
10,Seven,False,False,STAND,-0.4900
10,Seven,False,False,HIT,-0.0230
10,Seven,False,False,DOUBLE_DOWN,0.4151
10,Seven,False,False,SURRENDER,-0.5000
21,Seven,True,False,STAND,1.4576
21,Seven,True,False,HIT,-0.0860
21,Seven,True,False,DOUBLE_DOWN,0.4540
21,Seven,True,False,SURRENDER,-0.5000
16,Seven,False,False,STAND,-0.4778
16,Seven,False,False,HIT,-0.5859
16,Seven,False,False,DOUBLE_DOWN,-0.8208
16,Seven,False,False,SURRENDER,-0.5000
13,Nine,False,False,STAND,-0.5522
13,Nine,False,False,HIT,-0.4904
13,Nine,False,False,DOUBLE_DOWN,-0.8186
13,Nine,False,False,SURRENDER,-0.5000
11,Four,False,False,STAND,-0.1867
11,Four,False,False,HIT,-0.0636
11,Four,False,False,DOUBLE_DOWN,0.5729
11,Four,False,False,SURRENDER,-0.5000
13,Four,False,False,STAND,-0.2002
13,Four,False,False,HIT,-0.4496
13,Four,False,False,DOUBLE_DOWN,-0.5332
13,Four,False,False,SURRENDER,-0.5000
20,Four,False,False,STAND,0.6487
20,Four,False,False,HIT,-0.8973
20,Four,False,False,DOUBLE_DOWN,-1.7123
20,Four,False,False,SURRENDER,-0.5000
15,Jack,False,False,STAND,-0.5807
15,Jack,False,False,HIT,-0.6618
15,Jack,False,False,DOUBLE_DOWN,-1.0560
15,Jack,False,False,SURRENDER,-0.5000
10,Two,False,False,STAND,-0.2853
10,Two,False,False,HIT,-0.0855
10,Two,False,False,DOUBLE_DOWN,0.3827
10,Two,False,False,SURRENDER,-0.5000
20,Eight,False,True,STAND,0.7897
20,Eight,False,True,HIT,-0.9200
20,Eight,False,True,SPLIT,-0.5163
20,Eight,False,True,DOUBLE_DOWN,-1.6898
20,Eight,False,True,SURRENDER,-0.5000
21,Eight,False,False,STAND,0.9318
21,Eight,False,False,HIT,-1.0000
16,Ace,False,False,STAND,-0.7195
16,Ace,False,False,HIT,-0.7634
16,Ace,False,False,DOUBLE_DOWN,-1.3652
16,Ace,False,False,SURRENDER,-0.5000
9,Eight,False,False,STAND,-0.5180
9,Eight,False,False,HIT,-0.1397
9,Eight,False,False,DOUBLE_DOWN,-0.0393
9,Eight,False,False,SURRENDER,-0.5000
19,Eight,False,False,STAND,0.5982
19,Eight,False,False,HIT,-0.8060
19,Eight,False,False,DOUBLE_DOWN,-1.4377
19,Eight,False,False,SURRENDER,-0.5000
19,Six,True,False,STAND,0.4609
19,Six,True,False,HIT,-0.0412
19,Six,True,False,DOUBLE_DOWN,0.3922
19,Six,True,False,SURRENDER,-0.5000
12,Seven,False,False,STAND,-0.4754
12,Seven,False,False,HIT,-0.3220
12,Seven,False,False,DOUBLE_DOWN,-0.5246
12,Seven,False,False,SURRENDER,-0.5000
14,Seven,False,False,STAND,-0.4752
14,Seven,False,False,HIT,-0.5105
14,Seven,False,False,DOUBLE_DOWN,-0.6464
14,Seven,False,False,SURRENDER,-0.5000
10,Ten,False,False,STAND,-0.5707
10,Ten,False,False,HIT,-0.2903
10,Ten,False,False,DOUBLE_DOWN,-0.1626
10,Ten,False,False,SURRENDER,-0.5000
20,Four,True,False,STAND,0.6552
20,Four,True,False,HIT,-0.0944
20,Four,True,False,DOUBLE_DOWN,0.4799
20,Four,True,False,SURRENDER,-0.5000
20,King,False,False,STAND,0.4362
20,King,False,False,HIT,-0.9044
20,King,False,False,DOUBLE_DOWN,-1.7244
20,King,False,False,SURRENDER,-0.5000
20,Eight,False,False,STAND,0.7939
20,Eight,False,False,HIT,-0.9076
20,Eight,False,False,DOUBLE_DOWN,-1.7044
20,Eight,False,False,SURRENDER,-0.5000
20,Six,True,False,STAND,0.6758
20,Six,True,False,HIT,-0.0287
20,Six,True,False,DOUBLE_DOWN,0.5974
20,Six,True,False,SURRENDER,-0.5000
19,Two,True,False,STAND,0.3760
19,Two,True,False,HIT,-0.1051
19,Two,True,False,DOUBLE_DOWN,0.1629
19,Two,True,False,SURRENDER,-0.5000
16,King,False,False,STAND,-0.5745
16,King,False,False,HIT,-0.7019
16,King,False,False,DOUBLE_DOWN,-1.1203
16,King,False,False,SURRENDER,-0.5000
8,Five,False,False,STAND,-0.1466
8,Five,False,False,HIT,-0.2012
8,Five,False,False,DOUBLE_DOWN,0.0201
8,Five,False,False,SURRENDER,-0.5000
18,King,True,False,STAND,-0.2557
18,King,True,False,HIT,-0.3836
18,King,True,False,DOUBLE_DOWN,-0.4435
18,King,True,False,SURRENDER,-0.5000
16,Ten,False,False,STAND,-0.5722
16,Ten,False,False,HIT,-0.6902
16,Ten,False,False,DOUBLE_DOWN,-1.1268
16,Ten,False,False,SURRENDER,-0.5000
17,Three,False,False,STAND,-0.1181
17,Three,False,False,HIT,-0.6874
17,Three,False,False,DOUBLE_DOWN,-1.0717
17,Three,False,False,SURRENDER,-0.5000
20,Seven,False,False,STAND,0.7776
20,Seven,False,False,HIT,-0.9097
20,Seven,False,False,DOUBLE_DOWN,-1.6814
20,Seven,False,False,SURRENDER,-0.5000
18,Five,False,False,STAND,0.1934
18,Five,False,False,HIT,-0.7496
18,Five,False,False,DOUBLE_DOWN,-1.2538
18,Five,False,False,SURRENDER,-0.5000
12,Ace,False,False,STAND,-0.7165
12,Ace,False,False,HIT,-0.6727
12,Ace,False,False,DOUBLE_DOWN,-1.1717
12,Ace,False,False,SURRENDER,-0.5000
17,Nine,False,False,STAND,-0.4282
17,Nine,False,False,HIT,-0.6959
17,Nine,False,False,DOUBLE_DOWN,-1.1202
17,Nine,False,False,SURRENDER,-0.5000
20,Jack,False,False,STAND,0.4355
20,Jack,False,False,HIT,-0.9106
20,Jack,False,False,DOUBLE_DOWN,-1.7360
20,Jack,False,False,SURRENDER,-0.5000
14,Three,False,False,STAND,-0.2414
14,Three,False,False,HIT,-0.5350
14,Three,False,False,DOUBLE_DOWN,-0.7064
14,Three,False,False,SURRENDER,-0.5000
21,Ace,True,False,STAND,0.9986
21,Ace,True,False,HIT,-0.4686
21,Ace,True,False,DOUBLE_DOWN,-0.5386
21,Ace,True,False,SURRENDER,-0.5000
16,Two,False,False,STAND,-0.2951
16,Two,False,False,HIT,-0.6448
16,Two,False,False,DOUBLE_DOWN,-0.9574
16,Two,False,False,SURRENDER,-0.5000
16,Five,False,False,STAND,-0.1680
16,Five,False,False,HIT,-0.6182
16,Five,False,False,DOUBLE_DOWN,-0.8548
16,Five,False,False,SURRENDER,-0.5000
12,Ace,False,True,STAND,-0.6956
12,Ace,False,True,HIT,-0.6760
12,Ace,False,True,SPLIT,-1.2646
12,Ace,False,True,DOUBLE_DOWN,-1.1972
12,Ace,False,True,SURRENDER,-0.5000
14,Eight,False,False,STAND,-0.5032
14,Eight,False,False,HIT,-0.5392
14,Eight,False,False,DOUBLE_DOWN,-0.7554
14,Eight,False,False,SURRENDER,-0.5000
19,Seven,False,False,STAND,0.6161
19,Seven,False,False,HIT,-0.7998
19,Seven,False,False,DOUBLE_DOWN,-1.3922
19,Seven,False,False,SURRENDER,-0.5000
17,Queen,False,False,STAND,-0.4578
17,Queen,False,False,HIT,-0.7293
17,Queen,False,False,DOUBLE_DOWN,-1.2249
17,Queen,False,False,SURRENDER,-0.5000
14,Jack,True,False,STAND,-0.5390
14,Jack,True,False,HIT,-0.2887
14,Jack,True,False,DOUBLE_DOWN,-0.6197
14,Jack,True,False,SURRENDER,-0.5000
9,Two,False,False,STAND,-0.2789
9,Two,False,False,HIT,-0.1814
9,Two,False,False,DOUBLE_DOWN,0.0650
9,Two,False,False,SURRENDER,-0.5000
7,King,False,False,STAND,-0.5863
7,King,False,False,HIT,-0.5404
7,King,False,False,DOUBLE_DOWN,-1.0498
7,King,False,False,SURRENDER,-0.5000
19,Queen,False,False,STAND,-0.0158
19,Queen,False,False,HIT,-0.8260
19,Queen,False,False,DOUBLE_DOWN,-1.5034
19,Queen,False,False,SURRENDER,-0.5000
20,Ten,False,False,STAND,0.4404
20,Ten,False,False,HIT,-0.9031
20,Ten,False,False,DOUBLE_DOWN,-1.7231
20,Ten,False,False,SURRENDER,-0.5000
18,Eight,True,False,STAND,0.1094
18,Eight,True,False,HIT,-0.1415
18,Eight,True,False,DOUBLE_DOWN,-0.1365
18,Eight,True,False,SURRENDER,-0.5000
7,Nine,False,False,STAND,-0.5198
7,Nine,False,False,HIT,-0.3822
7,Nine,False,False,DOUBLE_DOWN,-0.9687
7,Nine,False,False,SURRENDER,-0.5000
17,Seven,False,False,STAND,-0.1099
17,Seven,False,False,HIT,-0.6373
17,Seven,False,False,DOUBLE_DOWN,-0.9256
17,Seven,False,False,SURRENDER,-0.5000
21,Six,True,False,STAND,1.4827
21,Six,True,False,HIT,-0.0387
21,Six,True,False,DOUBLE_DOWN,0.6761
21,Six,True,False,SURRENDER,-0.5000
13,Two,False,False,STAND,-0.2845
13,Two,False,False,HIT,-0.4991
